COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
8673275,0.7605,100,0.7605,100,1.31492439184747,1.31492439184747
8673277,1.0683,100,6.9309,100,0.0,0.0
8673279,3.7035,100,6.1884,100,0.810044552450385,0.807963286148278
8673281,0.7902,100,0.7902,100,0.0,0.0
8673283,0.4725,100,9.0387,100,2.11640211640212,0.6638122738889439
8673285,0.0315,100,0.0963,100,0.0,0.0
8673287,0.7020000000000001,100,0.8568,100,2.84900284900285,2.33426704014939
8673289,0.4986,100,2.3778,100,0.0,0.0
8673291,0.0666,100,41.3496,100,0.0,0.338576431210943
8673293,1.0485,100,1.8432,100,1.9074868860276597,1.08506944444444
8673295,0.7947,100,0.7947,100,0.0,0.0
8673297,1.3068,100,43.7031,100,0.0,0.3432250801430561
8673299,1.1709,100,675.2457,100,0.0,0.47834440115649796
8673301,0.4743,100,27.5373,100,0.0,0.0726287617159271
8673303,0.8262,100,0.8262,100,0.0,0.0
8673305,3.1518,100,3.1518,100,1.26911606066375,1.26911606066375
8673307,1.8792,100,1.8792,100,0.0,0.0
8673309,2.7153,100,3.6684,100,0.368283430928443,0.8177952240758909
8673311,1.2627,100,1.2627,100,1.58390749980201,1.58390749980201
8673313,0.5579999999999999,100,48.6477,100,0.0,0.37000721514069496
8673315,0.4662,100,1.2996,100,0.0,0.0
8673317,1.026,100,1.026,100,0.0,0.0
8673319,1.0467,100,1.0467,100,0.955383586509984,0.955383586509984
8673321,0.6831,100,1.4616,100,0.0,0.684181718664477
8673323,4.122,100,158.0832,100,0.485201358563804,0.259357098034453
8673325,1.8981,100,1.8981,100,0.0,0.0
8673327,0.7785,100,0.7785,100,1.28452151573539,1.28452151573539
8673329,0.1908,100,50.1012,100,0.0,0.399192035320511
8673331,0.0018,100,1.1826,100,0.0,0.0
8673333,1.3671,100,1.3671,100,0.0,0.0
8673335,0.4014,100,1.6236,100,0.0,1.23183050012318
8673337,1.3077,100,4.3929,100,0.764701384109505,0.9105602221766941
8673339,5.7186,100,9.4077,100,0.0,0.212591813089278
8673341,1.3473,100,1.3473,100,0.0,0.0
8673343,2.2293,100,705.0123,100,0.0,0.46098486508675107
8673345,0.7992,100,711.4779,100,0.0,0.458201161272894
8673347,1.3509,100,152.262,100,0.0,0.256137447294794
8673349,1.9575,100,2.3787,100,0.0,0.0
8673351,1.2222,100,1.2222,100,1.63639338897071,1.63639338897071
8673353,0.6012,100,0.6012,100,3.32667997338656,3.32667997338656
8673355,0.0585,100,150.3225,100,0.0,0.25944219927156603
8673357,0.9882,100,0.9882,100,0.0,0.0
8673359,1.4868,100,1.4868,100,1.34517083669626,1.34517083669626
8673361,0.4086,100,713.7846,100,0.0,0.45672041677559294
8673363,0.3375,100,2.8872,100,2.96296296296296,0.346356331393738
8673365,0.9990000000000001,100,55.7613,100,0.0,0.39453886476821703
8673367,2.7126,100,54.1611,100,0.0,0.369268718692936
8673369,0.5823,100,5.6664,100,0.0,0.17647889312438197
8673373,0.0036,100,5.3748,100,0.0,1.30237404182481
8673375,4.8384,100,5.3712,100,1.44675925925926,1.30324694667858
8673377,6.6348,100,13.0266,100,0.15072044372098597,0.46059601123854294
8673379,0.8595,100,1.6992,100,0.0,0.0
8673381,0.2817,100,0.5886,100,0.0,0.0
8673383,3.4839,100,3.4839,100,0.0,0.0
8673385,0.2232,100,149.2758,100,0.0,0.261261369893847
8673387,1.0683,100,1.0683,100,0.0,0.0
8673389,2.1366,100,2.1366,100,0.46803332397266706,0.46803332397266706
8673391,2.2554,100,2.2554,100,0.0,0.0
8673393,1.0701,100,14.8707,100,0.0,0.40347798018923103
8673395,0.4365,100,17.6661,100,2.2909507445589905,0.396239124651168
8673397,0.2394,100,5.6106,100,0.0,1.24763839874523
